Prediction,Material,Plant,UnitofMeasure,DebitCredit,DayOfWeek,Month,DayOfYear,WeekOfYear,IsWeekend,Quantity,Quantity_pred
95,8,1,1,1,-1.448226,-0.438332,-0.456773,-0.434252,-0.373442,7.686291,4.529617
96,1,1,1,2,-0.846265,1.553246,1.514045,1.534155,-0.373442,8.379209,3.349391
97,22,1,1,2,0.95962,0.13069,-0.017776,-0.040571,-0.373442,7.092607,3.464108
98,22,1,1,2,0.95962,0.984224,0.953623,0.943633,-0.373442,6.733593,3.21678
99,14,1,1,1,0.95962,1.268735,1.289876,1.271701,-0.373442,8.091015,2.209647
100,21,1,1,1,-0.244303,-0.153821,-0.036456,-0.040571,-0.373442,8.940105,4.100664
101,23,1,1,1,0.95962,-1.291866,-1.334768,-1.352842,-0.373442,6.811465,3.395866
102,1,1,1,1,0.357659,-0.722844,-0.821047,-0.827933,-0.373442,9.072241,3.932871
103,15,1,1,1,0.95962,-1.576377,-1.596298,-1.615296,-0.373442,5.428468,2.836251
104,1,1,1,1,0.357659,1.268735,1.14977,1.140474,-0.373442,8.379209,3.886401
105,18,1,1,1,-0.244303,-0.722844,-0.765005,-0.76232,-0.373442,6.811465,2.861987
106,22,1,1,1,-1.448226,0.984224,0.990984,1.009247,-0.373442,8.825413,3.587499
107,18,1,1,1,0.357659,0.13069,0.028926,0.025043,-0.373442,6.811465,2.814532
108,1,1,1,1,0.357659,0.415201,0.355839,0.353111,-0.373442,8.379209,3.770744
109,26,1,1,2,-0.846265,0.984224,1.121749,1.140474,-0.373442,9.392745,4.859487
110,7,1,1,2,-0.846265,0.984224,1.065707,1.07486,-0.373442,10.078218,3.354803
111,11,1,1,2,0.95962,1.553246,1.551406,1.534155,-0.373442,0,0.96758
112,9,1,1,2,-0.846265,-1.576377,-1.633659,-1.615296,-0.373442,8.245122,3.963896
113,23,1,1,2,-0.846265,1.268735,1.261855,1.271701,-0.373442,8.196933,2.934763
114,22,1,1,1,-0.846265,0.699713,0.804177,0.812406,-0.373442,6.119418,3.746165
115,1,1,1,1,1.561582,-1.291866,-1.325427,-1.352842,2.677789,5.610058,3.902547
116,1,1,1,2,-0.846265,0.415201,0.467924,0.484338,-0.373442,9.295362,3.882092
117,1,1,1,2,-0.244303,0.984224,0.8789,0.87802,-0.373442,6.993603,3.762223
118,22,1,1,1,-1.448226,-0.438332,-0.456773,-0.434252,-0.373442,8.196933,3.345762
119,7,1,1,1,0.95962,1.553246,1.420641,1.402928,-0.373442,9.741762,3.422509
120,1,1,1,1,-0.846265,0.415201,0.346499,0.353111,-0.373442,9.825952,3.99064
121,14,1,1,1,0.95962,-0.438332,-0.354029,-0.368638,-0.373442,9.294773,3.695423
122,22,1,1,2,0.357659,-0.153821,-0.027116,-0.040571,-0.373442,6.811465,3.195133
123,14,1,1,2,-0.846265,0.984224,1.056367,1.07486,-0.373442,6.754371,3.097524
